,geography_code,tenure_type,value,variable_name
469,E06000037,private_registered_provider,9352.0,number_of_houses
470,E06000062,private_registered_provider,14544.0,number_of_houses
471,E06000054,private_registered_provider,26385.0,number_of_houses
472,E06000040,private_registered_provider,7860.0,number_of_houses
473,E06000041,private_registered_provider,2633.0,number_of_houses
474,E06000014,private_registered_provider,5089.0,number_of_houses
475,E09000002,private_registered_provider,5374.0,number_of_houses
476,E09000003,private_registered_provider,9534.0,number_of_houses
477,E09000004,private_registered_provider,13795.0,number_of_houses
478,E09000005,private_registered_provider,19272.0,number_of_houses
479,E09000006,private_registered_provider,19007.0,number_of_houses
480,E09000007,private_registered_provider,11753.0,number_of_houses
481,E09000001,private_registered_provider,230.0,number_of_houses
482,E09000008,private_registered_provider,13550.0,number_of_houses
483,E09000009,private_registered_provider,13036.0,number_of_houses
484,E09000010,private_registered_provider,8729.0,number_of_houses
485,E09000011,private_registered_provider,14845.0,number_of_houses
486,E09000012,private_registered_provider,23842.0,number_of_houses
487,E09000013,private_registered_provider,13735.0,number_of_houses
488,E09000014,private_registered_provider,12032.0,number_of_houses
489,E09000015,private_registered_provider,4462.0,number_of_houses
490,E09000016,private_registered_provider,4746.0,number_of_houses
491,E09000017,private_registered_provider,7871.0,number_of_houses
492,E09000018,private_registered_provider,8747.0,number_of_houses
493,E09000019,private_registered_provider,16197.0,number_of_houses
494,E09000020,private_registered_provider,12971.0,number_of_houses
495,E09000021,private_registered_provider,2730.0,number_of_houses
496,E09000022,private_registered_provider,24811.0,number_of_houses
497,E09000023,private_registered_provider,23272.0,number_of_houses
498,E09000024,private_registered_provider,11572.0,number_of_houses
499,E09000025,private_registered_provider,14742.0,number_of_houses
500,E09000026,private_registered_provider,4918.0,number_of_houses
501,E09000027,private_registered_provider,9898.0,number_of_houses
502,E09000028,private_registered_provider,17455.0,number_of_houses
503,E09000029,private_registered_provider,5968.0,number_of_houses
504,E09000030,private_registered_provider,32734.0,number_of_houses
505,E09000031,private_registered_provider,12840.0,number_of_houses
506,E09000032,private_registered_provider,11119.0,number_of_houses
507,E09000033,private_registered_provider,15289.0,number_of_houses
508,E11000001,private_registered_provider,199792.0,number_of_houses
509,E08000001,private_registered_provider,25486.0,number_of_houses
510,E08000002,private_registered_provider,5050.0,number_of_houses
511,E08000003,private_registered_provider,51410.0,number_of_houses
512,E08000004,private_registered_provider,18479.0,number_of_houses
513,E08000005,private_registered_provider,20735.0,number_of_houses
514,E08000006,private_registered_provider,29872.0,number_of_houses
515,E08000007,private_registered_provider,6573.0,number_of_houses
516,E08000008,private_registered_provider,22214.0,number_of_houses
517,E08000009,private_registered_provider,15569.0,number_of_houses
518,E08000010,private_registered_provider,4404.0,number_of_houses
519,E11000002,private_registered_provider,135912.0,number_of_houses
520,E08000011,private_registered_provider,18166.0,number_of_houses
521,E08000012,private_registered_provider,58443.0,number_of_houses
522,E08000014,private_registered_provider,18799.0,number_of_houses
523,E08000013,private_registered_provider,17260.0,number_of_houses
524,E08000015,private_registered_provider,23244.0,number_of_houses
525,E11000003,private_registered_provider,31303.0,number_of_houses
526,E08000016,private_registered_provider,4142.0,number_of_houses
527,E08000017,private_registered_provider,4404.0,number_of_houses
528,E08000018,private_registered_provider,4837.0,number_of_houses
529,E08000019,private_registered_provider,17920.0,number_of_houses
530,E11000004,private_registered_provider,62319.0,number_of_houses
